,Name,Team,Games,Targets,Rec,RecYards,RecTD,FFP,FFPPG,Season,Week
4826,AaronHalterman,MIA,1.0,1.0,1.0,7.0,0.0,1.2,1.2,2007.0,8
4990,AaronHalterman,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,10
5080,AaronHalterman,MIA,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2007.0,11
5161,AaronHalterman,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,12
5244,AaronHalterman,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,13
5335,AaronHalterman,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,14
5413,AaronHalterman,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,15
5503,AaronHalterman,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,16
5586,AaronHalterman,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,17
8325,AaronHernandez,NE,1.0,2.0,1.0,45.0,0.0,5.0,5.0,2010.0,1
8400,AaronHernandez,NE,1.0,6.0,6.0,101.0,0.0,13.1,13.1,2010.0,2
8495,AaronHernandez,NE,1.0,7.0,6.0,65.0,0.0,10.8,10.8,2010.0,3
8599,AaronHernandez,NE,1.0,5.0,5.0,29.0,0.0,5.4,5.4,2010.0,4
8744,AaronHernandez,NE,1.0,6.0,4.0,61.0,0.0,9.9,9.9,2010.0,6
8825,AaronHernandez,NE,1.0,8.0,5.0,54.0,0.0,7.9,7.9,2010.0,7
8909,AaronHernandez,NE,1.0,3.0,2.0,33.0,0.0,4.3,4.3,2010.0,8
8970,AaronHernandez,NE,1.0,9.0,5.0,48.0,2.0,19.3,19.3,2010.0,9
9103,AaronHernandez,NE,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2010.0,10
9130,AaronHernandez,NE,1.0,1.0,1.0,8.0,1.0,7.3,7.3,2010.0,11
9244,AaronHernandez,NE,1.0,1.0,1.0,18.0,0.0,2.3,2.3,2010.0,12
9301,AaronHernandez,NE,1.0,5.0,3.0,51.0,1.0,12.6,12.6,2010.0,13
9414,AaronHernandez,NE,1.0,4.0,2.0,19.0,0.0,2.9,2.9,2010.0,14
9479,AaronHernandez,NE,1.0,5.0,4.0,31.0,2.0,18.7,18.7,2010.0,15
9745,AaronHernandez,NE,1.0,10.0,7.0,103.0,1.0,19.8,19.8,2011.0,1
9839,AaronHernandez,NE,1.0,8.0,7.0,62.0,1.0,15.7,15.7,2011.0,2
10122,AaronHernandez,NE,1.0,9.0,5.0,56.0,0.0,8.1,8.1,2011.0,5
10180,AaronHernandez,NE,1.0,14.0,8.0,68.0,1.0,14.8,14.8,2011.0,6
10337,AaronHernandez,NE,1.0,4.0,2.0,9.0,1.0,8.1,8.1,2011.0,8
10409,AaronHernandez,NE,1.0,5.0,4.0,35.0,1.0,11.5,11.5,2011.0,9
10499,AaronHernandez,NE,1.0,5.0,4.0,41.0,0.0,6.1,6.1,2011.0,10
10589,AaronHernandez,NE,1.0,7.0,4.0,44.0,0.0,6.4,6.4,2011.0,11
10656,AaronHernandez,NE,1.0,7.0,6.0,62.0,0.0,9.2,9.2,2011.0,12
10748,AaronHernandez,NE,1.0,9.0,7.0,43.0,0.0,7.8,7.8,2011.0,13
10838,AaronHernandez,NE,1.0,7.0,5.0,84.0,0.0,10.9,10.9,2011.0,14
10923,AaronHernandez,NE,1.0,11.0,9.0,129.0,1.0,25.0,25.0,2011.0,15
11037,AaronHernandez,NE,1.0,6.0,4.0,36.0,0.0,5.7,5.7,2011.0,16
11106,AaronHernandez,NE,1.0,11.0,7.0,138.0,1.0,25.9,25.9,2011.0,17
11195,AaronHernandez,NE,1.0,7.0,6.0,59.0,1.0,15.4,15.4,2012.0,1
11313,AaronHernandez,NE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2012.0,2
11484,AaronHernandez,NE,1.0,9.0,6.0,30.0,1.0,12.0,12.0,2012.0,6
11543,AaronHernandez,NE,1.0,7.0,5.0,54.0,0.0,7.9,7.9,2012.0,7
11819,AaronHernandez,NE,1.0,3.0,2.0,36.0,0.0,4.6,4.6,2012.0,12
11850,AaronHernandez,NE,1.0,13.0,8.0,97.0,0.0,13.7,13.7,2012.0,13
11897,AaronHernandez,NE,1.0,11.0,8.0,58.0,2.0,21.8,21.8,2012.0,14
11957,AaronHernandez,NE,1.0,19.0,10.0,92.0,1.0,20.2,20.2,2012.0,15
12043,AaronHernandez,NE,1.0,5.0,1.0,13.0,0.0,1.8,1.8,2012.0,16
12079,AaronHernandez,NE,1.0,8.0,5.0,44.0,0.0,6.9,6.9,2012.0,17
80,AaronShea,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,1
170,AaronShea,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,2
250,AaronShea,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,3
267,AaronShea,CLE,1.0,5.0,2.0,28.0,1.0,9.8,9.8,2004.0,4
359,AaronShea,CLE,1.0,2.0,1.0,35.0,0.0,4.0,4.0,2004.0,5
425,AaronShea,CLE,1.0,4.0,3.0,25.0,1.0,10.0,10.0,2004.0,6
508,AaronShea,CLE,1.0,6.0,6.0,45.0,0.0,7.5,7.5,2004.0,7
679,AaronShea,CLE,1.0,4.0,2.0,20.0,0.0,3.0,3.0,2004.0,9
750,AaronShea,CLE,1.0,4.0,1.0,7.0,1.0,7.2,7.2,2004.0,10
832,AaronShea,CLE,1.0,3.0,2.0,7.0,1.0,7.7,7.7,2004.0,11
921,AaronShea,CLE,1.0,7.0,5.0,67.0,0.0,9.2,9.2,2004.0,12
1087,AaronShea,CLE,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2004.0,13
1137,AaronShea,CLE,1.0,4.0,1.0,5.0,0.0,1.0,1.0,2004.0,14
1227,AaronShea,CLE,1.0,4.0,1.0,8.0,0.0,1.3,1.3,2004.0,15
1414,AaronShea,CLE,1.0,3.0,2.0,5.0,0.0,1.5,1.5,2004.0,17
1821,AaronShea,CLE,1.0,7.0,6.0,65.0,0.0,9.5,9.5,2005.0,5
1908,AaronShea,CLE,1.0,4.0,3.0,17.0,0.0,3.2,3.2,2005.0,6
2003,AaronShea,CLE,1.0,3.0,1.0,9.0,0.0,1.4,1.4,2005.0,7
2059,AaronShea,CLE,1.0,1.0,1.0,8.0,1.0,7.3,7.3,2005.0,8
2199,AaronShea,CLE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2005.0,9
2275,AaronShea,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,10
2363,AaronShea,CLE,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2005.0,11
2451,AaronShea,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,12
2493,AaronShea,CLE,1.0,2.0,1.0,13.0,0.0,1.8,1.8,2005.0,13
2592,AaronShea,CLE,1.0,2.0,1.0,14.0,0.0,1.9,1.9,2005.0,14
2736,AaronShea,CLE,1.0,8.0,5.0,27.0,0.0,5.2,5.2,2005.0,16
2885,AaronShea,CLE,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2005.0,17
85,AaronWalker,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,1
175,AaronWalker,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,2
197,AaronWalker,SF,1.0,3.0,2.0,26.0,0.0,3.6,3.6,2004.0,3
336,AaronWalker,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,4
358,AaronWalker,SF,1.0,3.0,3.0,41.0,0.0,5.6,5.6,2004.0,5
494,AaronWalker,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,6
618,AaronWalker,SF,1.0,1.0,1.0,4.0,0.0,0.9,0.9,2004.0,8
695,AaronWalker,SF,1.0,1.0,1.0,3.0,0.0,0.8,0.8,2004.0,9
817,AaronWalker,SF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2004.0,10
906,AaronWalker,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,11
998,AaronWalker,SF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2004.0,12
1042,AaronWalker,SF,1.0,1.0,1.0,8.0,0.0,1.3,1.3,2004.0,13
1114,AaronWalker,SF,1.0,2.0,1.0,30.0,0.0,3.5,3.5,2004.0,14
1275,AaronWalker,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,15
1364,AaronWalker,SF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,16
1425,AaronWalker,SF,1.0,2.0,1.0,3.0,0.0,0.8,0.8,2004.0,17
2970,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,1
3052,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,2
3085,AaronWalker,STL,1.0,1.0,1.0,16.0,0.0,2.1,2.1,2006.0,3
3202,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,4
3276,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,5
3342,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,6
3489,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,8
3567,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,9
3651,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,10
3737,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,11
3822,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,12
3904,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,13
3955,AaronWalker,STL,1.0,1.0,1.0,6.0,0.0,1.1,1.1,2006.0,14
4031,AaronWalker,STL,1.0,1.0,1.0,9.0,0.0,1.4,1.4,2006.0,15
4112,AaronWalker,STL,1.0,1.0,1.0,11.0,0.0,1.6,1.6,2006.0,16
4177,AaronWalker,STL,1.0,2.0,1.0,26.0,0.0,3.1,3.1,2006.0,17
4321,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,1
4371,AaronWalker,STL,1.0,1.0,1.0,8.0,0.0,1.3,1.3,2007.0,2
4571,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,4
4615,AaronWalker,STL,1.0,2.0,1.0,5.0,0.0,1.0,1.0,2007.0,5
4714,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,6
4787,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,7
4861,AaronWalker,STL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,8
1497,AdamBergen,ARI,1.0,4.0,1.0,10.0,0.0,1.5,1.5,2005.0,1
1571,AdamBergen,ARI,1.0,3.0,2.0,15.0,0.0,2.5,2.5,2005.0,2
1671,AdamBergen,ARI,1.0,2.0,1.0,9.0,0.0,1.4,1.4,2005.0,3
1773,AdamBergen,ARI,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2005.0,4
1855,AdamBergen,ARI,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2005.0,5
2006,AdamBergen,ARI,1.0,2.0,1.0,7.0,0.0,1.2,1.2,2005.0,7
2080,AdamBergen,ARI,1.0,1.0,1.0,7.0,0.0,1.2,1.2,2005.0,8
2160,AdamBergen,ARI,1.0,2.0,2.0,5.0,0.0,1.5,1.5,2005.0,9
2226,AdamBergen,ARI,1.0,2.0,1.0,32.0,0.0,3.7,3.7,2005.0,10
2290,AdamBergen,ARI,1.0,4.0,4.0,35.0,1.0,11.5,11.5,2005.0,11
2417,AdamBergen,ARI,1.0,3.0,1.0,2.0,0.0,0.7,0.7,2005.0,12
2512,AdamBergen,ARI,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2005.0,13
2564,AdamBergen,ARI,1.0,5.0,3.0,41.0,0.0,5.6,5.6,2005.0,14
2655,AdamBergen,ARI,1.0,3.0,3.0,18.0,0.0,3.3,3.3,2005.0,15
2731,AdamBergen,ARI,1.0,4.0,4.0,54.0,0.0,7.4,7.4,2005.0,16
2819,AdamBergen,ARI,1.0,4.0,4.0,35.0,0.0,5.5,5.5,2005.0,17
2902,AdamBergen,ARI,1.0,2.0,2.0,18.0,1.0,8.8,8.8,2006.0,1
3024,AdamBergen,ARI,1.0,4.0,2.0,17.0,0.0,0.7,0.7,2006.0,2
3097,AdamBergen,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,3
3171,AdamBergen,ARI,1.0,2.0,1.0,4.0,0.0,0.9,0.9,2006.0,4
3250,AdamBergen,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,5
3318,AdamBergen,ARI,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2006.0,6
3387,AdamBergen,ARI,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2006.0,7
3467,AdamBergen,ARI,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2006.0,8
3588,AdamBergen,ARI,1.0,6.0,5.0,30.0,0.0,5.5,5.5,2006.0,10
3689,AdamBergen,ARI,1.0,2.0,2.0,10.0,0.0,2.0,2.0,2006.0,11
3771,AdamBergen,ARI,1.0,4.0,3.0,32.0,0.0,2.7,2.7,2006.0,12
3873,AdamBergen,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,13
3966,AdamBergen,ARI,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2006.0,14
4041,AdamBergen,ARI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,15
11252,AdrienRobinson,NYG,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,1
13255,AdrienRobinson,NYG,1.0,1.0,1.0,15.0,0.0,2.0,2.0,2014.0,4
13319,AdrienRobinson,NYG,1.0,1.0,1.0,5.0,0.0,1.0,1.0,2014.0,5
13361,AdrienRobinson,NYG,1.0,2.0,1.0,29.0,0.0,3.4,3.4,2014.0,6
13662,AdrienRobinson,NYG,1.0,1.0,1.0,1.0,1.0,6.6,6.6,2014.0,12
13812,AdrienRobinson,NYG,1.0,1.0,1.0,0.0,0.0,0.5,0.5,2014.0,14
14006,AdrienRobinson,NYG,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2014.0,17
2346,AlexHolmes,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,11
2418,AlexHolmes,MIA,1.0,1.0,1.0,2.0,0.0,0.7,0.7,2005.0,12
2529,AlexHolmes,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,13
2616,AlexHolmes,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,14
2699,AlexHolmes,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,15
2785,AlexHolmes,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,16
2869,AlexHolmes,MIA,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,17
1459,AlexSmith,TB,1.0,5.0,4.0,34.0,2.0,17.4,17.4,2005.0,1
1592,AlexSmith,TB,1.0,2.0,1.0,2.0,0.0,0.7,0.7,2005.0,2
1677,AlexSmith,TB,1.0,1.0,1.0,4.0,0.0,0.9,0.9,2005.0,3
1766,AlexSmith,TB,1.0,3.0,1.0,7.0,0.0,1.2,1.2,2005.0,4
1825,AlexSmith,TB,1.0,8.0,5.0,46.0,0.0,7.1,7.1,2005.0,5
1926,AlexSmith,TB,1.0,4.0,2.0,0.0,0.0,1.0,1.0,2005.0,6
2064,AlexSmith,TB,1.0,3.0,2.0,43.0,0.0,5.3,5.3,2005.0,8
2141,AlexSmith,TB,1.0,3.0,3.0,41.0,0.0,5.6,5.6,2005.0,9
2277,AlexSmith,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,10
2299,AlexSmith,TB,1.0,3.0,3.0,43.0,0.0,5.8,5.8,2005.0,11
2406,AlexSmith,TB,1.0,3.0,2.0,14.0,0.0,2.4,2.4,2005.0,12
2509,AlexSmith,TB,1.0,2.0,1.0,-1.0,0.0,0.4,0.4,2005.0,13
2579,AlexSmith,TB,1.0,3.0,3.0,11.0,0.0,2.6,2.6,2005.0,14
2652,AlexSmith,TB,1.0,6.0,4.0,26.0,0.0,4.6,4.6,2005.0,15
2727,AlexSmith,TB,1.0,12.0,8.0,75.0,0.0,11.5,11.5,2005.0,16
2827,AlexSmith,TB,1.0,3.0,1.0,22.0,0.0,2.7,2.7,2005.0,17
2920,AlexSmith,TB,1.0,2.0,2.0,18.0,0.0,2.8,2.8,2006.0,1
3049,AlexSmith,TB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2006.0,2
3063,AlexSmith,TB,1.0,5.0,4.0,72.0,0.0,9.2,9.2,2006.0,3
3207,AlexSmith,TB,1.0,6.0,5.0,16.0,1.0,10.1,10.1,2006.0,5
3286,AlexSmith,TB,1.0,4.0,3.0,10.0,1.0,8.5,8.5,2006.0,6
3381,AlexSmith,TB,1.0,1.0,1.0,6.0,0.0,1.1,1.1,2006.0,7
3444,AlexSmith,TB,1.0,7.0,2.0,12.0,0.0,2.2,2.2,2006.0,8
3524,AlexSmith,TB,1.0,3.0,2.0,8.0,0.0,1.8,1.8,2006.0,9
3594,AlexSmith,TB,1.0,4.0,3.0,18.0,0.0,3.3,3.3,2006.0,10
3733,AlexSmith,TB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2006.0,11
3864,AlexSmith,TB,1.0,3.0,2.0,4.0,0.0,1.4,1.4,2006.0,13
3932,AlexSmith,TB,1.0,3.0,2.0,17.0,0.0,2.7,2.7,2006.0,14
3998,AlexSmith,TB,1.0,7.0,5.0,24.0,1.0,8.9,8.9,2006.0,15
4086,AlexSmith,TB,1.0,5.0,4.0,45.0,0.0,6.5,6.5,2006.0,16
4261,AlexSmith,TB,1.0,2.0,2.0,23.0,0.0,3.3,3.3,2007.0,1
4344,AlexSmith,TB,1.0,3.0,2.0,45.0,0.0,5.5,5.5,2007.0,2
4439,AlexSmith,TB,1.0,5.0,3.0,27.0,0.0,4.2,4.2,2007.0,3
4521,AlexSmith,TB,1.0,6.0,4.0,17.0,0.0,3.7,3.7,2007.0,4
4579,AlexSmith,TB,1.0,3.0,2.0,6.0,2.0,13.6,13.6,2007.0,5
4676,AlexSmith,TB,1.0,3.0,1.0,15.0,0.0,2.0,2.0,2007.0,6
4892,AlexSmith,TB,1.0,3.0,2.0,13.0,0.0,2.3,2.3,2007.0,9
5015,AlexSmith,TB,1.0,0.0,3.0,51.0,1.0,12.6,12.6,2007.0,11
5114,AlexSmith,TB,1.0,4.0,3.0,41.0,0.0,5.6,5.6,2007.0,12
5222,AlexSmith,TB,1.0,1.0,1.0,11.0,0.0,1.6,1.6,2007.0,13
5285,AlexSmith,TB,1.0,5.0,2.0,39.0,0.0,4.9,4.9,2007.0,14
5435,AlexSmith,TB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2007.0,15
5444,AlexSmith,TB,1.0,10.0,6.0,79.0,0.0,10.9,10.9,2007.0,16
5562,AlexSmith,TB,1.0,2.0,1.0,18.0,0.0,2.3,2.3,2007.0,17
5635,AlexSmith,TB,1.0,3.0,2.0,19.0,0.0,2.9,2.9,2008.0,1
5712,AlexSmith,TB,1.0,6.0,2.0,20.0,0.0,3.0,3.0,2008.0,2
5793,AlexSmith,TB,1.0,7.0,3.0,33.0,0.0,4.8,4.8,2008.0,3
5863,AlexSmith,TB,1.0,2.0,2.0,26.0,1.0,9.6,9.6,2008.0,4
5959,AlexSmith,TB,1.0,1.0,1.0,11.0,0.0,1.6,1.6,2008.0,5
6004,AlexSmith,TB,1.0,3.0,3.0,43.0,1.0,11.8,11.8,2008.0,6
6103,AlexSmith,TB,1.0,4.0,2.0,25.0,0.0,3.5,3.5,2008.0,7
6175,AlexSmith,TB,1.0,2.0,2.0,39.0,0.0,4.9,4.9,2008.0,8
6236,AlexSmith,TB,1.0,2.0,2.0,12.0,1.0,8.2,8.2,2008.0,9
6611,AlexSmith,TB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2008.0,13
6656,AlexSmith,TB,1.0,3.0,1.0,20.0,0.0,2.5,2.5,2008.0,14
6763,AlexSmith,TB,1.0,3.0,1.0,2.0,0.0,0.7,0.7,2008.0,15
6879,AlexSmith,TB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,16
6964,AlexSmith,TB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2008.0,17
7047,AlexSmith,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,1
7129,AlexSmith,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,2
7211,AlexSmith,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,3
7356,AlexSmith,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,5
7431,AlexSmith,PHI,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2009.0,6
7502,AlexSmith,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,7
7545,AlexSmith,PHI,1.0,1.0,1.0,11.0,0.0,1.6,1.6,2009.0,8
7606,AlexSmith,PHI,1.0,2.0,1.0,11.0,0.0,1.6,1.6,2009.0,9
7707,AlexSmith,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,10
7789,AlexSmith,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,11
7876,AlexSmith,PHI,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2009.0,12
7963,AlexSmith,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,13
8046,AlexSmith,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,14
8104,AlexSmith,PHI,1.0,1.0,1.0,3.0,0.0,0.8,0.8,2009.0,15
8208,AlexSmith,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,16
8297,AlexSmith,PHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,17
8571,AlexSmith,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,3
9564,AlexSmith,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,15
9610,AlexSmith,CLE,1.0,1.0,1.0,6.0,0.0,1.1,1.1,2010.0,16
9826,AlexSmith,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,1
9859,AlexSmith,CLE,1.0,5.0,3.0,19.0,0.0,3.4,3.4,2011.0,2
9969,AlexSmith,CLE,1.0,4.0,1.0,9.0,0.0,1.4,1.4,2011.0,3
10061,AlexSmith,CLE,1.0,2.0,1.0,13.0,0.0,1.8,1.8,2011.0,4
10190,AlexSmith,CLE,1.0,3.0,2.0,14.0,1.0,8.4,8.4,2011.0,6
10286,AlexSmith,CLE,1.0,2.0,1.0,13.0,0.0,1.8,1.8,2011.0,7
10357,AlexSmith,CLE,1.0,1.0,1.0,20.0,0.0,2.5,2.5,2011.0,8
10476,AlexSmith,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,9
10519,AlexSmith,CLE,1.0,2.0,2.0,15.0,0.0,2.5,2.5,2011.0,10
10641,AlexSmith,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,11
10730,AlexSmith,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,12
10822,AlexSmith,CLE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,13
10861,AlexSmith,CLE,1.0,3.0,2.0,19.0,0.0,2.9,2.9,2011.0,14
10967,AlexSmith,CLE,1.0,3.0,1.0,9.0,0.0,1.4,1.4,2011.0,15
11246,AlexSmith,CLE,1.0,1.0,1.0,-1.0,0.0,0.4,0.4,2012.0,1
11280,AlexSmith,CLE,1.0,4.0,3.0,30.0,0.0,4.5,4.5,2012.0,2
11628,AlexSmith,CLE,1.0,3.0,1.0,1.0,0.0,0.6,0.6,2012.0,8
11667,AlexSmith,CLE,1.0,4.0,3.0,8.0,0.0,2.3,2.3,2012.0,9
11778,AlexSmith,CLE,1.0,1.0,1.0,2.0,0.0,0.7,0.7,2012.0,11
11842,AlexSmith,CLE,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2012.0,12
11889,AlexSmith,CLE,1.0,1.0,1.0,1.0,0.0,0.6,0.6,2012.0,13
11997,AlexSmith,CLE,1.0,2.0,2.0,8.0,0.0,1.8,1.8,2012.0,15
12058,AlexSmith,CLE,1.0,1.0,1.0,-2.0,0.0,0.3,0.3,2012.0,16
12230,AlexSmith,CIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2013.0,2
12635,AlexSmith,CIN,1.0,2.0,1.0,3.0,0.0,0.8,0.8,2013.0,10
12660,AlexSmith,CIN,1.0,1.0,1.0,2.0,1.0,6.7,6.7,2013.0,11
12862,AlexSmith,CIN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2013.0,14
13022,AlexSmith,CIN,1.0,1.0,1.0,7.0,0.0,1.2,1.2,2013.0,17
2,AlgeCrumpler,ATL,1.0,7.0,6.0,82.0,1.0,17.2,17.2,2004.0,1
104,AlgeCrumpler,ATL,1.0,4.0,3.0,49.0,0.0,6.4,6.4,2004.0,2
194,AlgeCrumpler,ATL,1.0,4.0,2.0,34.0,0.0,4.4,4.4,2004.0,3
263,AlgeCrumpler,ATL,1.0,9.0,5.0,85.0,0.0,11.0,11.0,2004.0,4
367,AlgeCrumpler,ATL,1.0,4.0,1.0,24.0,0.0,2.9,2.9,2004.0,5
419,AlgeCrumpler,ATL,1.0,4.0,4.0,54.0,1.0,13.4,13.4,2004.0,6
517,AlgeCrumpler,ATL,1.0,6.0,3.0,27.0,0.0,4.2,4.2,2004.0,7
579,AlgeCrumpler,ATL,1.0,8.0,7.0,86.0,0.0,12.1,12.1,2004.0,8
741,AlgeCrumpler,ATL,1.0,5.0,4.0,118.0,1.0,19.8,19.8,2004.0,10
822,AlgeCrumpler,ATL,1.0,5.0,4.0,47.0,2.0,18.7,18.7,2004.0,11
913,AlgeCrumpler,ATL,1.0,7.0,4.0,103.0,1.0,18.3,18.3,2004.0,12
1047,AlgeCrumpler,ATL,1.0,2.0,1.0,5.0,0.0,1.0,1.0,2004.0,13
1119,AlgeCrumpler,ATL,1.0,2.0,1.0,22.0,0.0,2.7,2.7,2004.0,14
1209,AlgeCrumpler,ATL,1.0,7.0,3.0,38.0,0.0,3.3,3.3,2004.0,15
1469,AlgeCrumpler,ATL,1.0,9.0,4.0,54.0,0.0,7.4,7.4,2005.0,1
1558,AlgeCrumpler,ATL,1.0,5.0,3.0,53.0,0.0,6.8,6.8,2005.0,2
1657,AlgeCrumpler,ATL,1.0,7.0,3.0,35.0,0.0,5.0,5.0,2005.0,3
1734,AlgeCrumpler,ATL,1.0,8.0,3.0,16.0,1.0,9.1,9.1,2005.0,4
1810,AlgeCrumpler,ATL,1.0,9.0,6.0,99.0,1.0,18.9,18.9,2005.0,5
1898,AlgeCrumpler,ATL,1.0,7.0,4.0,52.0,0.0,7.2,7.2,2005.0,6
1975,AlgeCrumpler,ATL,1.0,4.0,4.0,66.0,0.0,8.6,8.6,2005.0,7
2136,AlgeCrumpler,ATL,1.0,8.0,6.0,65.0,0.0,9.5,9.5,2005.0,9
2218,AlgeCrumpler,ATL,1.0,8.0,5.0,40.0,0.0,6.5,6.5,2005.0,10
